tank,sample_date,temperature,conductivity,free_chlorine,total_chlorine,sample_type,replicate,NNA_30_degrees,NNA_naegleria_spp,NNA_naegleria_fowleri,NNA_acanthamoeba_spp,NNA_NTM,NNA_meiothermus,NNA_legionella_spp,NNA_42_degrees,total_DNA_naegleria_spp,total_DNA_naegleria_fowleri,total_DNA_acanthamoeba_spp,total_DNA_NTM,total_DNA_legionella_spp,waresh_e_coli,waresh_enterococcus,waresh_pseudomonas_aeruginosa,waresh_mycobacterium_intracellulare,waresh_mycobacterium_avium,waresh_legionella_spp,waresh_legionella_pneumophila,waresh_acanthamoeba_spp
French,2017-09-05T00:00:00Z,18.5,82,0.64,0.69,sediment,4,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,TA,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
French,2017-09-05T00:00:00Z,18.5,82,0.64,0.69,sediment,5,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,POS,NEG,NEG,POS,NEG,NEG,NEG
French,2017-09-05T00:00:00Z,18.5,82,0.64,0.69,sediment,6,POS,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,bulk_water,1,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,bulk_water,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,POS,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,sediment,4,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,TA,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,sediment,5,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
Walliston,2017-09-07T00:00:00Z,13,53,0.64,0.68,sediment,6,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,POS
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,bulk_water,1,POS,NEG,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,POS,NEG,NEG,POS
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,bulk_water,2,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,bulk_water,3,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,sediment,4,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,Tetramitus & Vahlkampfia,NEG,NEG,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,sediment,5,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,TA,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
Lesmurdie,2017-09-14T00:00:00Z,16.5,48,0.96,0.99,sediment,6,POS,NEG,NEG,NEG,NEG,NEG,NEG,NEG,N. andersoni,NEG,POS,POS,NEG,NEG,NEG,NEG,NEG,POS,NEG,NEG,NEG
